,Data,Dezenas
0,29/03/2023,37 39 47 50 59 60
1,25/03/2023,12 18 22 31 44 50
2,22/03/2023,29 32 33 35 38 43
3,18/03/2023,04 12 14 41 46 53
4,16/03/2023,12 17 43 44 48 60
5,14/03/2023,06 26 32 35 37 49
6,11/03/2023,03 07 15 22 24 50
7,08/03/2023,09 18 33 38 41 51
8,04/03/2023,08 18 26 27 47 50
9,01/03/2023,06 07 25 28 31 52
10,25/02/2023,16 22 29 35 38 49
11,23/02/2023,10 11 19 33 58 60
12,18/02/2023,11 23 45 53 57 59
13,16/02/2023,09 13 25 39 46 54
14,14/02/2023,07 08 14 19 32 45
15,11/02/2023,05 09 14 30 38 50
16,08/02/2023,06 12 32 44 51 57
17,04/02/2023,19 22 37 44 51 56
18,01/02/2023,04 05 17 20 48 52
19,28/01/2023,09 12 20 30 32 35
20,25/01/2023,02 10 18 25 34 44
21,21/01/2023,03 13 16 25 27 33
22,18/01/2023,02 06 10 14 34 56
23,14/01/2023,03 20 45 52 53 58
24,12/01/2023,19 25 43 44 48 49
25,10/01/2023,13 15 53 54 55 58
26,07/01/2023,05 24 25 33 38 41
27,04/01/2023,01 25 29 43 46 48
28,31/12/2022,04 05 10 34 58 59
29,17/12/2022,01 06 10 30 33 35
30,14/12/2022,09 15 23 25 29 30
31,10/12/2022,10 25 31 37 38 57
32,07/12/2022,03 23 28 34 38 48
33,03/12/2022,20 23 32 36 39 57
34,30/11/2022,25 38 45 53 55 56
35,26/11/2022,02 05 27 30 46 53
36,24/11/2022,12 20 22 25 26 55
37,22/11/2022,10 28 45 47 57 59
38,19/11/2022,02 08 28 34 41 49
39,16/11/2022,01 23 32 33 36 59
40,12/11/2022,06 15 19 20 33 52
41,09/11/2022,12 24 26 31 37 48
42,05/11/2022,09 22 27 30 33 45
43,03/11/2022,01 03 24 37 51 56
44,29/10/2022,28 36 39 44 56 60
45,26/10/2022,17 18 20 37 45 53
46,22/10/2022,10 14 17 18 23 30
47,20/10/2022,01 05 18 49 55 56
48,18/10/2022,14 17 18 28 30 44
49,15/10/2022,03 05 32 56 57 59
50,13/10/2022,04 15 22 53 56 60
51,08/10/2022,08 19 29 38 48 56
52,05/10/2022,02 16 24 38 43 59
53,01/10/2022,04 13 21 26 47 51
54,28/09/2022,03 20 22 37 41 43
55,24/09/2022,01 10 27 36 37 45
56,21/09/2022,04 05 25 32 39 40
57,17/09/2022,23 28 33 38 55 59
